Disease category	References
Pathological Conditions, Signs and Symptoms	903
Nervous System Diseases	629
Neoplasms	303
Digestive System Diseases	283
Cardiovascular Diseases	250
Chemically-Induced Disorders	188
Male Urogenital Diseases	151
Nutritional and Metabolic Diseases	121
Female Urogenital Diseases and Pregnancy Complications	103
Mental Disorders	100
Skin and Connective Tissue Diseases	85
Respiratory Tract Diseases	64
Endocrine System Diseases	48
Musculoskeletal Diseases	34
Wounds and Injuries	32
Immune System Diseases	32
Bacterial Infections and Mycoses	31
Congenital, Hereditary, and Neonatal Diseases and Abnormalities	30
Hemic and Lymphatic Diseases	26
Virus Diseases	16
Eye Diseases	15
Stomatognathic Diseases	11
Otorhinolaryngologic Diseases	7
Animal Diseases	7
Parasitic Diseases	2
